num_sector,tabla,cod_municipio,grupo,producto,unidad,periodo,valor
84,FORESTAL,010103,PLANTACIONES FORESTALES,Eucalipto,ha,CONSTANTE,324.625
85,FORESTAL,010103,PLANTACIONES FORESTALES,Pino,ha,CONSTANTE,1329.27
98,PECUARIO,010201,APICULTURA,Miel,TM POR A•O,CONSTANTE,1.0253
211,FORESTAL,010201,PLANTACIONES FORESTALES,Cedro,ha,CONSTANTE,47.04
212,FORESTAL,010201,PLANTACIONES FORESTALES,Eucalipto,ha,CONSTANTE,95.333333
213,FORESTAL,010201,PLANTACIONES FORESTALES,Mara,ha,CONSTANTE,50
214,FORESTAL,010201,PLANTACIONES FORESTALES,Nogal,ha,CONSTANTE,57
215,FORESTAL,010201,PLANTACIONES FORESTALES,Pino,ha,CONSTANTE,1337.453333
216,FORESTAL,010201,PLANTACIONES FORESTALES,Quina quina,ha,CONSTANTE,25
227,PECUARIO,010101,APICULTURA,Miel,TM POR A•O,CONSTANTE,7.72676
228,INDUSTRIA MANUFACTURERA,010101,ART÷CULOS DE CUERO,Fabricaci¢n de calzado,VBP (Bs),TRANSFORMACION,3266165.112
229,INDUSTRIA MANUFACTURERA,010101,ART÷CULOS DE CUERO,Maletas talabarter°a  de cuero,VBP (Bs),TRANSFORMACION,213674.3531
261,TURISMO,010101,Compra de bienes,"Artesan°as, regalos y otros",VBP (Bs),TRASFORMACION,114800651.6
262,TURISMO,010101,Compra de bienes,Otros gastos turismo,VBP (Bs),TRASFORMACION,69212317.15
263,INDUSTRIA MANUFACTURERA,010101,ELAB. DE BEBIDAS,Bebidas no alcoh¢licas y otras,VBP (Bs),TRANSFORMACION,193279726.5
264,INDUSTRIA MANUFACTURERA,010101,ELAB. DE BEBIDAS,Destilaci¢n de bebidas alcoh¢licas,VBP (Bs),TRANSFORMACION,170473193.5
265,INDUSTRIA MANUFACTURERA,010101,ELAB. DE BEBIDAS,Elab. de vinos,VBP (Bs),TRANSFORMACION,1331618.346
